"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
10258,Planta Daninha,"1,270",0.791,0.000840
10260,BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING,"2,039",0.790,0.001590
10260,IBM JOURNAL OF RESEARCH AND DEVELOPMENT,"3,383",0.790,0.000900
10260,INTELLIGENT AUTOMATION AND SOFT COMPUTING,471,0.790,0.000360
10260,PAKISTAN JOURNAL OF ZOOLOGY,"1,621",0.790,0.001980
10264,ADVANCES IN GEOMETRY,306,0.789,0.001380
10264,Acta Histriae,162,0.789,0.000040
10264,Filomat,"1,660",0.789,0.004070
10264,Gesunde Pflanzen,169,0.789,0.000230
10264,International Journal of Data Mining and Bioinformatics,280,0.789,0.000490
10264,PUBLIC PERSONNEL MANAGEMENT,656,0.789,0.000540
10264,RETHINKING HISTORY,336,0.789,0.000200
10264,THEORETICAL MEDICINE AND BIOETHICS,566,0.789,0.000470
10272,ACM Transactions on Asian and Low-Resource Language Information Processing,65,0.788,0.000120
10272,Asia Europe Journal,199,0.788,0.000280
10272,Health Care for Women International,"1,535",0.788,0.001690
10272,JOURNAL OF AQUATIC PLANT MANAGEMENT,591,0.788,0.000120
10272,LINGUISTICS AND PHILOSOPHY,"1,495",0.788,0.000500
10272,Open Geosciences,166,0.788,0.000370
10278,FORMAL METHODS IN SYSTEM DESIGN,413,0.787,0.000580
10278,Journal of Aerospace Information Systems,236,0.787,0.000680
10278,Protection of Metals and Physical Chemistry of Surfaces,764,0.787,0.000820
10278,TECHNOLOGY AND HEALTH CARE,"1,024",0.787,0.001740
10278,Veterinaria Italiana,481,0.787,0.000670
10283,AMERICAN BUSINESS LAW JOURNAL,263,0.786,0.000130
10283,Intelligence and National Security,482,0.786,0.000420
10283,Journal of Comparative Germanic Linguistics,140,0.786,0.000180
10283,Journal of Exercise Science & Fitness,220,0.786,0.000230
10283,Journal of Global History,336,0.786,0.000630
10283,Mathematical Communications,255,0.786,0.000500
10283,Review of International Economics,"1,228",0.786,0.002410
10290,HAUTARZT,"1,266",0.785,0.001010
10290,JOURNAL OF CRANIOFACIAL SURGERY,"7,580",0.785,0.011070
10290,Revista Ciencia Agronomica,970,0.785,0.001500
10290,Revista Portuguesa de Cardiologia,824,0.785,0.000950
10290,Social Inclusion,294,0.785,0.000810
10295,African Health Sciences,"1,861",0.784,0.002830
10295,FORMAL ASPECTS OF COMPUTING,394,0.784,0.000980
10295,JOURNAL OF COLLEGE STUDENT DEVELOPMENT,"2,688",0.784,0.001370
10295,MINERALS & METALLURGICAL PROCESSING,511,0.784,0.000330
10295,Synthesis and Reactivity in Inorganic Metal-Organic and Nano-Metal Chemistry,"1,772",0.784,0.001300
10295,TRANSFORMATION GROUPS,613,0.784,0.002600
10301,PEDIATRIC NEUROSURGERY,"2,001",0.783,0.000720
10302,ANNALES ACADEMIAE SCIENTIARUM FENNICAE-MATHEMATICA,"1,229",0.782,0.003310
10302,Boletin de la Sociedad Geologica Mexicana,397,0.782,0.000550
10302,JOURNAL OF SOCIAL SERVICE RESEARCH,782,0.782,0.000910
10302,SOUTH AFRICAN JOURNAL OF PSYCHOLOGY,675,0.782,0.000480
10306,ARMED FORCES & SOCIETY,823,0.781,0.001080
10306,MINERVA CARDIOANGIOLOGICA,371,0.781,0.000510
10306,PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS,"2,759",0.781,0.001560
10306,SOUTH ATLANTIC QUARTERLY,947,0.781,0.001610
10310,APPLIED MAGNETIC RESONANCE,"1,399",0.780,0.001310
10310,CAHIERS AGRICULTURES,438,0.780,0.000370
10310,FOLIA MORPHOLOGICA,821,0.780,0.000790
10310,HOMO-JOURNAL OF COMPARATIVE HUMAN BIOLOGY,526,0.780,0.000710
10314,British Journal of Occupational Therapy,"1,198",0.779,0.001090
10314,British Journal of Occupational Therapy,"1,198",0.779,0.001090
10314,EXPERIMENTAL TECHNIQUES,806,0.779,0.001050
10314,International Journal of Global Warming,354,0.779,0.000490
10314,Politics & Gender,795,0.779,0.002110
10314,RUSSIAN JOURNAL OF NUMERICAL ANALYSIS AND MATHEMATICAL MODELLING,302,0.779,0.000450
10314,Turkish Journal of Hematology,349,0.779,0.000620
10321,ARCHIV FUR MOLLUSKENKUNDE,276,0.778,0.000200
10321,CONTRIBUTIONS TO INDIAN SOCIOLOGY,262,0.778,0.000220
10321,Hypatia-A Journal of Feminist Philosophy,"1,472",0.778,0.001170
10321,MEDYCYNA PRACY,500,0.778,0.000570
10321,NEUES JAHRBUCH FUR GEOLOGIE UND PALAONTOLOGIE-ABHANDLUNGEN,"1,153",0.778,0.001230
10321,SCANDINAVIAN POLITICAL STUDIES,824,0.778,0.000720
10321,Supreme Court Review,480,0.778,0.000330
10328,JOURNAL OF RUSSIAN LASER RESEARCH,422,0.777,0.000660
10328,Journal of Forest Research,891,0.777,0.000740
10330,Acta Reumatologica Portuguesa,432,0.776,0.000630
10330,COMPUTATIONAL INTELLIGENCE,709,0.776,0.000840
10330,Drvna Industrija,290,0.776,0.000270
10330,ECONOMIC DEVELOPMENT QUARTERLY,905,0.776,0.000810
10330,EDUCATIONAL STUDIES,818,0.776,0.000730
10330,Journal of Cellular Automata,150,0.776,0.000240
10330,Polish Journal of Microbiology,687,0.776,0.000830
10337,COMPUTATIONAL MATHEMATICS AND MATHEMATICAL PHYSICS,"2,557",0.774,0.002760
10337,JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND,648,0.774,0.000400
10337,Journal of Chinese Political Science,240,0.774,0.000370
10337,REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH,"2,168",0.774,0.002750
10341,AUSTRALIAN ECONOMIC PAPERS,320,0.773,0.000140
10341,Acta Geographica Slovenica-Geografski Zbornik,220,0.773,0.000130
10341,BIOLOGICAL RHYTHM RESEARCH,681,0.773,0.000860
10341,CHELONIAN CONSERVATION AND BIOLOGY,735,0.773,0.000540
10341,European Journal of Cultural Studies,810,0.773,0.001350
10341,NURSING SCIENCE QUARTERLY,652,0.773,0.000350
10341,NURSING SCIENCE QUARTERLY,652,0.773,0.000350
10341,TECHNICAL PHYSICS LETTERS,"2,650",0.773,0.002970
10349,ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS,"1,713",0.772,0.002190
10349,Canadian Review of Sociology-Revue Canadienne de Sociologie,556,0.772,0.000440
10349,Clinical Nurse Specialist,493,0.772,0.000540
10349,Clinical Nurse Specialist,493,0.772,0.000540
10353,Baltic Journal of Road and Bridge Engineering,229,0.771,0.000230
10353,INORGANIC MATERIALS,"3,201",0.771,0.001880
10353,JOURNAL DE GYNECOLOGIE OBSTETRIQUE ET BIOLOGIE DE LA REPRODUCTION,"1,002",0.771,0.001280
10353,Journal of Theoretical and Applied Mechanics,962,0.771,0.001190
10353,SOLVENT EXTRACTION RESEARCH AND DEVELOPMENT-JAPAN,191,0.771,0.000180
10358,Journal of Behavioral Finance,611,0.770,0.000560
10359,Balkan Journal of Medical Genetics,142,0.769,0.000250
10359,INQUIRY-THE JOURNAL OF HEALTH CARE ORGANIZATION PROVISION AND FINANCING,617,0.769,0.000650
10359,INQUIRY-THE JOURNAL OF HEALTH CARE ORGANIZATION PROVISION AND FINANCING,617,0.769,0.000650
10359,INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS,204,0.769,0.000220
10359,JOURNAL OF CONTEMPORARY HISTORY,824,0.769,0.001030
10359,JOURNAL OF LEGAL MEDICINE,112,0.769,0.000210
10359,SADHANA-ACADEMY PROCEEDINGS IN ENGINEERING SCIENCES,"1,382",0.769,0.001210
10366,Current Proteomics,216,0.768,0.000220
10366,Promet-Traffic & Transportation,407,0.768,0.000410
10366,Sport in Society,"1,116",0.768,0.001630
10369,ANNALES SOCIETATIS GEOLOGORUM POLONIAE,503,0.767,0.000520
10369,BULLETIN OF THE LONDON MATHEMATICAL SOCIETY,"2,188",0.767,0.007200
10369,JOURNAL OF APPLIED STATISTICS,"2,575",0.767,0.003760
10369,JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,"2,378",0.767,0.005700
10369,Visual Communication,455,0.767,0.000550
10374,REVISTA MEXICANA DE FISICA,762,0.766,0.000560
10375,AI COMMUNICATIONS,416,0.765,0.000380
10375,BULLETIN OF THE CHEMICAL SOCIETY OF ETHIOPIA,523,0.765,0.000260
10375,HAHR-Hispanic American Historical Review,484,0.765,0.000360
10375,International Journal of Law Policy and the Family,225,0.765,0.000240
10379,ISRAEL JOURNAL OF MATHEMATICS,"3,330",0.764,0.011530
10379,MATERIALS TRANSACTIONS,"9,252",0.764,0.004320
10381,Expert Opinion on Orphan Drugs,371,0.763,0.001300
10381,German History,171,0.763,0.000440
10381,JOURNAL OF ECONOMIC ISSUES,"1,560",0.763,0.000600
10381,Revue Roumaine des Sciences Techniques-Serie Electrotechnique et Energetique,308,0.763,0.000090
10381,SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,"1,315",0.763,0.000470
10386,AMERICAN JOURNAL OF LAW & MEDICINE,352,0.762,0.000460
10386,ELECTRONIC JOURNAL OF COMBINATORICS,"2,237",0.762,0.009830
10386,MEDICC Review,301,0.762,0.000630
10386,MEDICC Review,301,0.762,0.000630
10386,WILDFOWL,275,0.762,0.000320
10391,JOURNAL OF COLD REGIONS ENGINEERING,319,0.761,0.000220
10391,Journal of the History of Economic Thought,314,0.761,0.000670
10391,OPERATIONS RESEARCH LETTERS,"3,123",0.761,0.005270
10394,CLINICAL DYSMORPHOLOGY,509,0.760,0.000570
10394,Journal of Pacific Rim Psychology,104,0.760,0.000130
10394,Revista Espanola de Quimioterapia,358,0.760,0.000410
10394,Syntax-A Journal of Theoretical Experimental and Interdisciplinary Research,348,0.760,0.000440
10398,Chemical and Process Engineering-Inzynieria Chemiczna I Procesowa,377,0.759,0.000340
10398,ENVIRONMENTAL AND ECOLOGICAL STATISTICS,870,0.759,0.000910
10398,GEOLOGICAL QUARTERLY,903,0.759,0.000900
10398,Genes & Genomics,574,0.759,0.001050
10398,German Journal of Human Resource Management-Zeitschrift fur Personalforschung,26,0.759,0.000050
10398,JOURNAL OF THE CANADIAN DENTAL ASSOCIATION,"1,256",0.759,0.000280
10398,Journal of Electrochemical Science and Technology,131,0.759,0.000230
10398,Nutricion Hospitalaria,"3,669",0.759,0.004930
10398,Quality Management in Health Care,458,0.759,0.000540
10398,Quality Management in Health Care,458,0.759,0.000540
10408,ACTA METALLURGICA SINICA,"2,040",0.758,0.001690
10408,BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY,"2,529",0.758,0.001650
10408,JAPANESE PSYCHOLOGICAL RESEARCH,429,0.758,0.000580
10408,QUARTERLY JOURNAL OF SPEECH,996,0.758,0.000410
10408,TEXAS HEART INSTITUTE JOURNAL,"1,771",0.758,0.001820
10413,IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,"1,197",0.757,0.001190
10413,Journal of Homeland Security and Emergency Management,398,0.757,0.000320
10413,Transylvanian Review of Administrative Sciences,232,0.757,0.000210
10416,ACTA CARSOLOGICA,487,0.756,0.000350
10416,CURRENT SCIENCE,"10,540",0.756,0.006420
10416,Critical Care Nursing Clinics of North America,410,0.756,0.000380
10416,Critical Care Nursing Clinics of North America,410,0.756,0.000380
10416,GEOLOGIA CROATICA,412,0.756,0.000310
10416,HISTORICAL JOURNAL,"1,159",0.756,0.001500
10416,JOURNAL OF STATISTICAL PLANNING AND INFERENCE,"4,266",0.756,0.005560
10416,JOURNAL OF THE TORREY BOTANICAL SOCIETY,699,0.756,0.000510
10416,Journal of Biopharmaceutical Statistics,"1,273",0.756,0.002540
10425,Radiophysics and Quantum Electronics,"1,310",0.755,0.001340
10426,BALTIC FORESTRY,380,0.754,0.000560
10426,Experimental and Clinical Transplantation,964,0.754,0.002050
10426,INTERNATIONAL JOURNAL OF ROBOTICS & AUTOMATION,502,0.754,0.000360
10426,International Journal of Pharmacology,840,0.754,0.000780
10426,SYSTEMIC PRACTICE AND ACTION RESEARCH,514,0.754,0.000360
10431,JOURNAL OF PLANT NUTRITION,"4,742",0.753,0.002200
10432,International Journal of Clothing Science and Technology,624,0.752,0.000450
10432,Sleep and Biological Rhythms,600,0.752,0.000830
10434,CRYSTALLOGRAPHY REPORTS,"2,522",0.751,0.001360
10434,RUSSIAN JOURNAL OF ORGANIC CHEMISTRY,"3,206",0.751,0.001760
10436,AFRICAN JOURNAL OF AQUATIC SCIENCE,453,0.750,0.000670
10436,Applied Ontology,148,0.750,0.000120
10436,ECONOMIC RECORD,"1,076",0.750,0.000850
10436,English Language & Linguistics,269,0.750,0.000570
10436,HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES,296,0.750,0.000210
10436,HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES,296,0.750,0.000210
10436,International Journal of Islamic and Middle Eastern Finance and Management,434,0.750,0.000160
10436,PROCEEDINGS OF THE YORKSHIRE GEOLOGICAL SOCIETY,416,0.750,0.000100
10436,PROGRAMMING AND COMPUTER SOFTWARE,210,0.750,0.000120
10436,REVISTA CHILENA DE HISTORIA NATURAL,"1,343",0.750,0.000430
10436,Revista de Ciencia Politica,247,0.750,0.000360
10436,STUDIA MATHEMATICA,"2,649",0.750,0.003190
10436,Theoretical and Experimental Chemistry,495,0.750,0.000250
10449,Spanish Journal of Psychology,"1,327",0.749,0.001820
10449,Spanish Journal of Psychology,"1,327",0.749,0.001820
10451,EDUCATIONAL GERONTOLOGY,"1,354",0.748,0.000890
10451,SURFACE REVIEW AND LETTERS,852,0.748,0.000710
10451,TENSIDE SURFACTANTS DETERGENTS,484,0.748,0.000390
10451,TRANSPORTATION RESEARCH RECORD,"19,368",0.748,0.015890
10455,Asian Journal of Mathematics,550,0.747,0.002480
10455,Ginekologia Polska,812,0.747,0.001020
10455,Mechanics & Industry,460,0.747,0.000790
10458,COMMUNITY ECOLOGY,556,0.746,0.000580
10458,METHODOLOGY AND COMPUTING IN APPLIED PROBABILITY,583,0.746,0.001830
10458,Moscow Mathematical Journal,568,0.746,0.001920
10458,Topics in Applied Physics,"1,162",0.746,0.000560
10462,Advances in Strategic Management-A Research Annual,505,0.745,0.001220
10462,JOURNAL OF LOSS & TRAUMA,763,0.745,0.001180
10462,Social Theory & Health,423,0.745,0.000900
10465,HISTORY OF SCIENCE,483,0.744,0.000900
10465,HISTORY OF SCIENCE,483,0.744,0.000900
10465,Psychiatry Psychology and Law,627,0.744,0.000830
10465,Translator,455,0.744,0.000450
10469,JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,431,0.743,0.000400
10469,JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,431,0.743,0.000400
10469,Zoologia,727,0.743,0.001200
10472,BULLETIN OF SYMBOLIC LOGIC,280,0.742,0.000610
10472,Behavioral Psychology-Psicologia Conductual,390,0.742,0.000330
10472,CANADIAN JOURNAL OF CIVIL ENGINEERING,"3,199",0.742,0.002090
10472,FISH PATHOLOGY,846,0.742,0.000300
10472,JOURNAL OF THE INDIAN INSTITUTE OF SCIENCE,391,0.742,0.000530
10477,AMERICAN MALACOLOGICAL BULLETIN,522,0.741,0.000520
10477,CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY,"1,490",0.741,0.002070
10477,DISCRETE & COMPUTATIONAL GEOMETRY,"2,058",0.741,0.004970
10477,Diachronica,203,0.741,0.000520
10477,Discussiones Mathematicae Graph Theory,466,0.741,0.001890
10477,INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,701,0.741,0.000640
10477,ISIS,"1,418",0.741,0.002000
10477,ISIS,"1,418",0.741,0.002000
10477,JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,647,0.741,0.000700
10477,SILVAE GENETICA,864,0.741,0.000230
10477,Statistical Analysis and Data Mining,393,0.741,0.001010
10488,AATCC Journal of Research,70,0.740,0.000160
10488,APPLIED ENGINEERING IN AGRICULTURE,"2,047",0.740,0.001320
10488,FRONTIERS-A JOURNAL OF WOMEN STUDIES,286,0.740,0.000400
10488,JOURNAL OF ENVIRONMENTAL HEALTH,876,0.740,0.000900
10488,JOURNAL OF PEDIATRIC ORTHOPAEDICS-PART B,"1,428",0.740,0.001580
10493,SIBERIAN MATHEMATICAL JOURNAL,"1,657",0.738,0.002620
10493,Turkish Journal of Fisheries and Aquatic Sciences,"1,096",0.738,0.001480
10495,MATHEMATICAL PROCEEDINGS OF THE CAMBRIDGE PHILOSOPHICAL SOCIETY,"2,458",0.737,0.003700
10496,ITALIAN JOURNAL OF FOOD SCIENCE,645,0.736,0.000600
10496,Journal of Language Identity and Education,507,0.736,0.000750
10496,MINERVA CHIRURGICA,535,0.736,0.000620
10499,ECONOMICS OF TRANSITION,695,0.735,0.000540
10499,Economics-The Open Access Open-Assessment E-Journal,316,0.735,0.000700
10499,HISTORICAL METHODS,282,0.735,0.000510
10499,Iranian Journal of Parasitology,801,0.735,0.001350
10499,JOURNAL OF AMERICAN HISTORY,"1,301",0.735,0.001880
10499,JOURNAL OF SCIENTIFIC & INDUSTRIAL RESEARCH,"2,069",0.735,0.000600
10499,Journal of International Advanced Otology,284,0.735,0.000760
10499,Quality Assurance and Safety of Crops & Foods,303,0.735,0.000520
10507,JOURNAL OF LAW MEDICINE & ETHICS,"1,675",0.734,0.003590
10507,JOURNAL OF LAW MEDICINE & ETHICS,"1,675",0.734,0.003590
10509,Biomedica,981,0.733,0.001130
10509,China Foundry,392,0.733,0.000420
10509,European Journal of Inflammation,197,0.733,0.000290
10509,HISPANIC JOURNAL OF BEHAVIORAL SCIENCES,"1,406",0.733,0.000870
10509,Journal of Elementology,682,0.733,0.000770
10509,Journal of Laser Micro Nanoengineering,455,0.733,0.000530
10509,SLAVIC REVIEW,835,0.733,0.000680
10516,INFINITE DIMENSIONAL ANALYSIS QUANTUM PROBABILITY AND RELATED TOPICS,954,0.732,0.000920
10516,MAMMALIA,"1,235",0.732,0.000990
10516,SOCIAL SERVICE REVIEW,"1,251",0.732,0.001340
10519,ANNALES BOTANICI FENNICI,917,0.731,0.000740
10519,African Journal of Wildlife Research,53,0.731,0.000180
10519,CHILD & FAMILY BEHAVIOR THERAPY,426,0.731,0.000230
10519,CROATICA CHEMICA ACTA,"1,324",0.731,0.000950
10519,EXPERIMENTAL MATHEMATICS,850,0.731,0.002050
10519,HELMINTHOLOGIA,467,0.731,0.000560
10519,Review of Symbolic Logic,316,0.731,0.001300
10526,BEHAVIORAL INTERVENTIONS,489,0.730,0.000630
10526,CIENCIAS MARINAS,700,0.730,0.000420
10526,Future Virology,687,0.730,0.001260
10526,International Journal for Educational and Vocational Guidance,235,0.730,0.000250
10526,Inzinerine Ekonomika-Engineering Economics,476,0.730,0.000310
10531,ALLELOPATHY JOURNAL,665,0.729,0.000360
10531,BULLETIN DU CANCER,"1,007",0.729,0.001110
10531,Fluid Dynamics,"1,300",0.729,0.000990
10531,INTERFACES,"1,782",0.729,0.000990
10531,INTERFACES,"1,782",0.729,0.000990
10536,BIOLOGIA,"2,151",0.728,0.002550
10536,DISCRETE MATHEMATICS,"7,736",0.728,0.011360
10536,Lex Localis-Journal of Local Self-Government,171,0.728,0.000170
10539,APPLIED BIOCHEMISTRY AND MICROBIOLOGY,"1,532",0.727,0.000940
10539,Australian Journal of Anthropology,290,0.727,0.000580
10539,Dynamics of Partial Differential Equations,254,0.727,0.000670
10539,GRAPHICAL MODELS,806,0.727,0.001220
10539,International Journal of Cognitive Therapy,543,0.727,0.000950
10539,Iranian Journal of Science and Technology-Transactions of Mechanical Engineering,133,0.727,0.000260
10539,Journal of Operational Risk,169,0.727,0.000100
10539,NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE,693,0.727,0.000240
10539,PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,602,0.727,0.000050
10539,VIAL-Vigo International Journal of Applied Linguistics,61,0.727,0.000040
10549,EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE,355,0.726,0.000400
10549,INTERNATIONAL JOURNAL OF MARKET RESEARCH,912,0.726,0.000470
10549,Open Mathematics,304,0.726,0.000950
10549,REVIEW OF INDUSTRIAL ORGANIZATION,"1,098",0.726,0.001370
10549,Stochastics-An International Journal of Probability and Stochastic Processes,605,0.726,0.001760
10549,ZOOLOGICAL STUDIES,"1,261",0.726,0.001160
10555,COMMUNITY DEVELOPMENT JOURNAL,858,0.725,0.000810
10555,International Journal of Unconventional Computing,144,0.725,0.000200
10555,Romanian Journal of Economic Forecasting,217,0.725,0.000140
10558,FOLIA BIOLOGICA-KRAKOW,372,0.724,0.000350
10558,Journal of Seed Science,179,0.724,0.000400
10558,Nature + Culture,359,0.724,0.000770
10558,Pigment & Resin Technology,537,0.724,0.000310
10562,ANASTHESIOLOGIE & INTENSIVMEDIZIN,289,0.723,0.000190
10562,LETTERS IN ORGANIC CHEMISTRY,883,0.723,0.000660
10562,PROCEEDINGS OF THE ENTOMOLOGICAL SOCIETY OF WASHINGTON,"1,215",0.723,0.000480
10562,Veterinary Research Forum,357,0.723,0.000700
10566,Acta Herpetologica,250,0.722,0.000390
10566,Journal of Transportation Engineering Part B-Pavements,20,0.722,0.000020
10566,SCOTTISH JOURNAL OF GEOLOGY,452,0.722,0.000230
10569,Asian Herpetological Research,207,0.721,0.000440
10569,JOURNAL OF PORTFOLIO MANAGEMENT,"1,805",0.721,0.000950
10569,Journal of Systems Engineering and Electronics,"1,070",0.721,0.001230
10569,Proceedings of the Institution of Mechanical Engineers Part P-Journal of Sports Engineering and Technology,249,0.721,0.000340
10573,AMERICAN JOURNAL OF DENTISTRY,"1,832",0.720,0.001110
10573,BRITISH JOURNAL OF GUIDANCE & COUNSELLING,801,0.720,0.000410
10573,Communication Disorders Quarterly,373,0.720,0.000390
10573,Infancia y Aprendizaje,386,0.720,0.000290
10577,Herpetological Conservation and Biology,645,0.719,0.001280
10577,JOURNAL OF THE PHILOSOPHY OF SPORT,378,0.719,0.000120
10577,ZEITSCHRIFT FUR PADAGOGISCHE PSYCHOLOGIE,445,0.719,0.000280
10580,ACTA SOCIETATIS BOTANICORUM POLONIAE,747,0.718,0.000750
10580,JOURNAL D ANALYSE MATHEMATIQUE,"1,449",0.718,0.003160
10580,Journal of Economic Methodology,383,0.718,0.000730
10580,LATIN AMERICAN PERSPECTIVES,939,0.718,0.001400
10580,Scientia Iranica,"2,587",0.718,0.002170
10580,THEORETICAL COMPUTER SCIENCE,"7,926",0.718,0.011880
10586,Asian and Pacific Migration Journal,375,0.717,0.000590
10586,European Journal of Hospital Pharmacy-Science and Practice,270,0.717,0.000590
10586,Journal of Forensic Nursing,280,0.717,0.000450
10586,Journal of Forensic Nursing,280,0.717,0.000450
10586,PCI JOURNAL,"1,156",0.717,0.000520
10586,Plant Genetic Resources-Characterization and Utilization,569,0.717,0.000740
10586,PsyCh Journal,197,0.717,0.000750
10593,Independent Review,245,0.716,0.000260
10593,PALEONTOLOGICAL JOURNAL,"1,724",0.716,0.001120
10593,Review of Development Economics,995,0.716,0.001000
10593,UNFALLCHIRURG,"1,472",0.716,0.001020
10597,Journal of Electrical Engineering & Technology,"1,212",0.715,0.001790
10597,Journal of Internet Technology,673,0.715,0.001010
10599,ACTA ADRIATICA,420,0.714,0.000360
10599,Acta Phytotaxonomica et Geobotanica,144,0.714,0.000150
10599,Annales de Chirurgie Plastique Esthetique,769,0.714,0.000980
10599,Anthropology Southern Africa,116,0.714,0.000360
10599,Baltic Journal of Economics,82,0.714,0.000090
10599,Economia Politica,103,0.714,0.000160
10599,Geofizika,152,0.714,0.000110
10599,Materiali in Tehnologije,787,0.714,0.000980
10599,Methods in Microbiology,842,0.714,0.000270
10608,Early Child Development and Care,"1,582",0.713,0.001780
10608,Media International Australia,445,0.713,0.000660
10610,FUNCTIONAL ANALYSIS AND ITS APPLICATIONS,"1,975",0.712,0.001320
10610,JOURNAL OF IMAGING SCIENCE AND TECHNOLOGY,425,0.712,0.000220
10612,Complex Analysis and Operator Theory,483,0.711,0.002100
10612,IDS BULLETIN-INSTITUTE OF DEVELOPMENT STUDIES,"1,216",0.711,0.000810
10612,JOURNAL OF TESTING AND EVALUATION,"1,686",0.711,0.001610
10612,KSII Transactions on Internet and Information Systems,"1,110",0.711,0.001670
10616,Revista de Geografia Norte Grande,311,0.710,0.000290
10616,Revista de Geografia Norte Grande,311,0.710,0.000290
10616,Revista de Historia Economica,323,0.710,0.000340
10619,Algebraic and Geometric Topology,"1,081",0.709,0.007430
10620,CEREAL RESEARCH COMMUNICATIONS,808,0.708,0.000600
10620,INTERNATIONAL JOURNAL,377,0.708,0.000480
10620,Journal of Hospice & Palliative Nursing,508,0.708,0.000770
10620,Journal of Hospice & Palliative Nursing,508,0.708,0.000770
10620,Stochastics and Dynamics,489,0.708,0.001340
10625,Communications-European Journal of Communication Research,470,0.707,0.000490
10625,East Asian Science Technology and Society-An International Journal,228,0.707,0.000170
10625,Information Technology and Control,278,0.707,0.000260
10625,Journal of Aquatic Food Product Technology,658,0.707,0.000690
10625,ZEITSCHRIFT FUR KINDER-UND JUGENDPSYCHIATRIE UND PSYCHOTHERAPIE,360,0.707,0.000410
10630,ARCHIVE FOR HISTORY OF EXACT SCIENCES,404,0.706,0.000650
10630,ARCHIVE FOR HISTORY OF EXACT SCIENCES,404,0.706,0.000650
10630,Asian Journal of Technology Innovation,192,0.706,0.000210
10630,Ethics & Global Politics,89,0.706,0.000080
10630,JOURNAL OF NONPARAMETRIC STATISTICS,706,0.706,0.001590
10630,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT,704,0.706,0.000460
10636,COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,"1,043",0.705,0.001190
10636,SCIENCE AND ENGINEERING OF COMPOSITE MATERIALS,444,0.705,0.000590
10638,English Teaching-Practice and Critique,294,0.704,0.000240
10638,NETHERLANDS JOURNAL OF GEOSCIENCES-GEOLOGIE EN MIJNBOUW,515,0.704,0.000680
10638,Social Semiotics,550,0.704,0.000920
10638,Transactions of FAMENA,154,0.704,0.000170
10642,CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,"1,977",0.703,0.003000
10642,International Journal of Microwave and Wireless Technologies,543,0.703,0.001160
10642,MECHANICS OF COMPOSITE MATERIALS,"1,440",0.703,0.000590
10645,Analysis Mathematica,264,0.702,0.000590
10645,Australian Journal of Advanced Nursing,629,0.702,0.000270
10645,Australian Journal of Advanced Nursing,629,0.702,0.000270
10645,COMPARATIVE MEDICINE,"1,326",0.702,0.001220
10645,EUROPEAN JOURNAL OF PSYCHIATRY,269,0.702,0.000330
10650,Journal of Ovonic Research,207,0.701,0.000180
10650,MANAGERIAL AND DECISION ECONOMICS,"1,346",0.701,0.000890
10650,RAE-Revista de Administracao de Empresas,537,0.701,0.000160
10650,ZOOLOGY IN THE MIDDLE EAST,560,0.701,0.000680
10654,ANNALES DE DERMATOLOGIE ET DE VENEREOLOGIE,"1,274",0.700,0.000950
10654,CASTANEA,397,0.700,0.000160
10654,Genetics Research,"1,951",0.700,0.000250
10654,JNP-Journal for Nurse Practitioners,520,0.700,0.001140
10654,JNP-Journal for Nurse Practitioners,520,0.700,0.001140
10654,Journal of Earthquake and Tsunami,236,0.700,0.000300
10654,Plankton & Benthos Research,271,0.700,0.000330
10654,Proceedings of the Steklov Institute of Mathematics,"1,222",0.700,0.004230
10662,ACTA OCEANOLOGICA SINICA,"1,668",0.699,0.002360
